Service Request No,original_address_field,st_num_x,st_dir_x,st_name,Location,Created Date,Status Date,Status,Vehicle Make/Model,License Plate Number,Pound assigned inventory number,City X Coordinate,City Y Coordinate,Vehicle Body Style,impound_date,date,X Coordinate,Y Coordinate,X,Y,iss_dt_tim,st_num_y,st_dir_y,st_nm,st_name_edit,address,lcns_plt_s,viol_cd,viol_desc,rpt_dstrct,vhcl_make,fine_lvl,tckt_que,year,on_route,datetime,penalty
16-00052728,543 W MADISON ST,543,W,MADISON ST,543 W MADISON ST,1/4/2016 0:00,1/7/2016 0:00,Completed,Ford,AVE9903,2780415,1172710.311,1900299.342,Sedan 4 Door,1/1/2016,1/1/2016,-87.64126772,41.88185922,-87.6415724,41.8817218,1/1/2016 3:33,557,W,MADISON,MADISON ST,557 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,FORD,60,Paid,2016,TRUE,1/1/2016 3:33,TICKET AND TOW
16-00070405,5215 S ARCHER AVE,5215,S,ARCHER AVE,5215 S ARCHER AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Mitsubishi,E117422,2780487,1147335.94,1870235.06,Sedan 4 Door,1/2/2016,1/2/2016,-87.73521121,41.7998825,-87.735,41.79963,1/2/2016 3:21,5215,S,ARCHER AVE,ARCHER AVE,5215 S ARCHER AVE,IL,964060,3-7 AM SNOW ROUTE,8,MITS,120,Notice,2016,TRUE,1/2/2016 3:21,TICKET AND TOW
16-00070409,1439 S STATE ST,1439,S,STATE ST,1439 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Nissan,N775312,2780492,1176565.621,1893446.118,Sedan 4 Door,1/2/2016,1/2/2016,-87.62731823,41.86296737,-87.62793,41.86346,1/2/2016 4:04,1436,S,STATE ST,STATE ST,1436 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,NISS,60,Paid,2016,TRUE,1/2/2016 4:04,TICKET AND TOW
16-00070410,1441 S STATE ST,1441,S,STATE ST,1441 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Chevrolet,SM3P4P,2780493,1176566.121,1893425.818,Sedan 4 Door,1/2/2016,1/2/2016,-87.627317,41.86291166,-87.62764,41.86281,1/2/2016 4:02,1438,S,STATE ST,STATE ST,1438 S STATE ST,MO,964060,3-7 AM SNOW ROUTE,1,CHEV,60,Paid,2016,TRUE,1/2/2016 4:02,TICKET AND TOW
16-00070419,601 W MADISON ST,601,W,MADISON ST,601 W MADISON ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Ford,SUPERER,2780500,1172320.75,1900288.195,Carryall,1/2/2016,1/2/2016,-87.64269849,41.88183725,-87.6428535,41.8817032,1/2/2016 3:24,605,W,MADISON,MADISON ST,605 W MADISON,MI,964060,3-7 AM SNOW ROUTE,1,FORD,120,Paid,2016,TRUE,1/2/2016 3:24,TICKET AND TOW
16-00074498,501 W MADISON ST,501,W,MADISON ST,501 W MADISON ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Nissan,V453379,2780550,1173130.816,1900311.554,Sedan 2 Door,1/3/2016,1/3/2016,-87.63972328,41.88188342,-87.63992,41.8817251,1/3/2016 3:01,501,W,MADISON ST,MADISON ST,501 W MADISON ST,IL,964060,3-7 AM SNOW ROUTE,1,NISS,120,Notice,2016,TRUE,1/3/2016 3:01,TICKET AND TOW
16-00074501,511 W MADISON ST,511,W,MADISON ST,511 W MADISON ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Toyota,8644704,2780552,1173025.516,1900308.454,Sedan 4 Door,1/3/2016,1/3/2016,-87.64011003,41.88187725,-87.6405198,41.8817251,1/3/2016 15:02,525,W,MADISON,MADISON ST,525 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,1/3/2016 15:02,TICKET AND TOW
16-00074277,1923 S STATE ST,1923,S,STATE ST,1923 S STATE ST,1/5/2016 0:00,1/22/2016 0:00,Completed,Oldsmobile,E360076,2780558,1176627.316,1891014.75,Sedan 4 Door,1/3/2016,1/3/2016,-87.62716516,41.85629415,-87.62676,41.85602,1/3/2016 3:32,1923,S,STATE,STATE ST,1923 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,OLDS,120,Notice,2016,TRUE,1/3/2016 3:32,TICKET AND TOW
16-00074512,1923 S STATE ST,1923,S,STATE ST,1923 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Pontiac,Z305771,2780559,1176627.316,1891014.75,Sedan 4 Door,1/3/2016,1/3/2016,-87.62716516,41.85629415,-87.6261657,41.8526552,1/3/2016 3:06,25,E,CERMAK,CERMAK,25 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,PONT,60,Paid,2016,TRUE,1/3/2016 3:06,TICKET AND TOW
16-00074514,49 E CERMAK RD,49,E,CERMAK RD,49 E CERMAK RD,1/5/2016 0:00,1/7/2016 0:00,Completed,Jeep - Year Greater 1988,R338596,2780560,1177154.905,1889764.874,Carryall,1/3/2016,1/3/2016,-87.62526649,41.85285248,-87.62504,41.85264,1/3/2016 3:13,49,E,CERMAK,CERMAK,49 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,JEEP,60,Paid,2016,TRUE,1/3/2016 3:13,TICKET AND TOW
16-00074516,82 E CERMAK RD,82,E,CERMAK RD,82 E CERMAK RD,1/5/2016 0:00,1/7/2016 0:00,Completed,Honda,E747194,2780561,1177416.706,1889770.2,Sedan 4 Door,1/3/2016,1/3/2016,-87.62430545,41.85286116,-87.6246226,41.8530679,1/3/2016 3:30,76,E,CERMAK,CERMAK,76 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,HOND,60,Paid,2016,TRUE,1/3/2016 3:30,TICKET AND TOW
16-00074522,60 E CERMAK RD,60,E,CERMAK RD,60 E CERMAK RD,1/5/2016 0:00,1/7/2016 0:00,Completed,Lexus,Z469884,2780563,1177242.205,1889766.674,Sedan 4 Door,1/3/2016,1/3/2016,-87.62494602,41.85285544,-87.6246435,41.853061,1/3/2016 3:37,60,E,CERMAK,CERMAK,60 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,LEXU,60,Paid,2016,TRUE,1/3/2016 3:37,TICKET AND TOW
16-00074685,825 S STATE ST,825,S,STATE ST,825 S STATE ST,1/5/2016 0:00,1/22/2016 0:00,Completed,Ford,803PDT,2780618,1176485.812,1896549.493,Carryall,1/4/2016,1/4/2016,-87.62751753,41.87148503,-87.6272651,41.8713346,1/4/2016 3:01,825,S,STATE ST,STATE ST,825 S STATE ST,MN,964060,3-7 AM SNOW ROUTE,1,FORD,60,Define,2016,TRUE,1/4/2016 3:01,TICKET AND TOW
16-00074686,1427 S STATE ST,1427,S,STATE ST,1427 S STATE ST,1/5/2016 0:00,1/22/2016 0:00,Completed,Volkswagen,R757426,2780619,1176562.488,1893567.783,Sedan 4 Door,1/4/2016,1/4/2016,-87.62732605,41.8633013,-87.62689,41.86322,1/4/2016 3:05,1427,S,STATE ST,STATE ST,1427 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,VOLK,120,Paid,2016,TRUE,1/4/2016 3:05,TICKET AND TOW
16-00074633,69 E CERMAK RD,69,E,CERMAK RD,69 E CERMAK RD,1/5/2016 0:00,1/22/2016 0:00,Completed,Toyota,A911388,2780623,1177313.605,1889768.074,Sedan 2 Door,1/4/2016,1/4/2016,-87.62468392,41.85285767,-87.62435,41.85265,1/4/2016 3:18,69,E,22ND ST,22ND ST,69 E 22ND ST,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,FALSE,1/4/2016 3:18,TICKET AND TOW
16-00110097,605 W MADISON ST,605,W,MADISON ST,605 W MADISON ST,1/7/2016 0:00,1/22/2016 0:00,Completed,Volvo,S278174,2780770,1172279.75,1900287.195,Carryall,1/6/2016,1/6/2016,-87.64284907,41.88183541,-87.6428749,41.8817019,1/6/2016 3:01,609,W,MADISON,MADISON ST,609 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,VOLV,60,Paid,2016,TRUE,1/6/2016 3:01,TICKET AND TOW
16-00110100,10500 S MARTIN ST,10500,S,MARTIN ST,10500 S MARTIN ST,1/7/2016 0:00,1/22/2016 0:00,Completed,Toyota,E600743,2780772,1169211.881,1835141.256,Sedan 2 Door,1/6/2016,1/6/2016,-87.65599886,41.70313463,-87.61632,41.83922,1/6/2016 3:18,3001,S,KING DR,MARTIN LUTHER KING DRIVE,3001 S KING DR,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,1/6/2016 3:18,TICKET AND TOW
16-00110102,619 S STATE ST,619,S,STATE ST,619 S STATE ST,1/7/2016 0:00,1/22/2016 0:00,Completed,Hyundai,E106347,2780773,1176454.503,1897549.128,Sedan 4 Door,1/6/2016,1/6/2016,-87.6276023,41.8742288,-87.62731,41.8739682,1/6/2016 3:00,635,S,STATE,STATE ST,635 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,HYUN,60,Paid,2016,TRUE,1/6/2016 3:00,TICKET AND TOW
