Service Request No,original_address_field,st_num_x,st_dir_x,st_name,Location,Created Date,Status Date,Status,Vehicle Make/Model,License Plate Number,Pound assigned inventory number,City X Coordinate,City Y Coordinate,Vehicle Body Style,impound_date,date,X Coordinate,Y Coordinate,X,Y,iss_dt_tim,st_num_y,st_dir_y,st_nm,st_name_edit,address,lcns_plt_s,viol_cd,viol_desc,rpt_dstrct,vhcl_make,fine_lvl,tckt_que,year,on_route,datetime,penalty
,,,,,,,,,,DL5058D,,,,,,1/3/2016 0:00,,,-87.67453,42.00982,1/3/2016 3:19,7028,N,CLARK,CLARK ST,7028 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,FORD,120,Paid,2016,TRUE,1/3/2016 3:19,TICKET - NO TOW
,,,,,,,,,,X351342,,,,,,12/1/2016 0:00,,,-87.67381,41.97636,12/1/2016 3:12,1742,W,FOSTER,FOSTER AVE,1742 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,KIA,60,Paid,2016,TRUE,12/1/2016 3:12,TICKET - NO TOW
,,,,,,,,,,XFI865,,,,,,1/1/2016 0:00,,,-87.6246435,41.853061,1/1/2016 3:20,60,E,CERMAK,CERMAK,60 E CERMAK,IN,964060,3-7 AM SNOW ROUTE,1,FORD,60,Define,2016,TRUE,1/1/2016 3:20,TICKET - NO TOW
,,,,,,,,,,H929211,,,,,,1/2/2016 0:00,,,-87.68736,41.97618,1/2/2016 3:17,2310,W,FOSTER,FOSTER AVE,2310 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,TOYT,60,Paid,2016,TRUE,1/2/2016 3:17,TICKET - NO TOW
,,,,,,,,,,S590869,,,,,,1/2/2016 0:00,,,-87.62708,41.86855,1/2/2016 3:43,1111,S,STATE ST,STATE ST,1111 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,ACUR,60,Paid,2016,TRUE,1/2/2016 3:43,TICKET - NO TOW
,,,,,,,,,,FVP5798,,,,,,1/2/2016 0:00,,,-87.6272651,41.8713346,1/2/2016 3:50,825,S,STATE ST,STATE ST,825 S STATE ST,TX,964060,3-7 AM SNOW ROUTE,1,FORD,120,Notice,2016,TRUE,1/2/2016 3:50,TICKET - NO TOW
,,,,,,,,,,299MHL,,,,,,1/2/2016 0:00,,,-87.62764,41.86278,1/2/2016 4:00,1440,S,STATE ST,STATE ST,1440 S STATE ST,IN,964060,3-7 AM SNOW ROUTE,1,PONT,60,Define,2016,TRUE,1/2/2016 4:00,TICKET - NO TOW
,,,,,,,,,,Z653178,,,,,,1/2/2016 0:00,,,-87.6270751,41.8613934,1/2/2016 4:08,1517,S,STATE ST,STATE ST,1517 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,CHRY,60,Paid,2016,TRUE,1/2/2016 4:08,TICKET - NO TOW
,,,,,,,,,,V758743,,,,,,1/1/2016 0:00,,,-87.62578,41.8530449,1/1/2016 3:14,39,E,CERMAK,CERMAK,39 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,1/1/2016 3:14,TICKET - NO TOW
,,,,,,,,,,R146140,,,,,,1/1/2016 0:00,,,-87.62533,41.85263,1/1/2016 3:17,41,E,CERMAK,CERMAK,41 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,INFI,60,Paid,2016,TRUE,1/1/2016 3:17,TICKET - NO TOW
