Service Request No,original_address_field,st_num_x,st_dir_x,st_name,Location,Created Date,Status Date,Status,Vehicle Make/Model,License Plate Number,Pound assigned inventory number,City X Coordinate,City Y Coordinate,Vehicle Body Style,impound_date,date,X Coordinate,Y Coordinate,X,Y,iss_dt_tim,st_num_y,st_dir_y,st_nm,st_name_edit,address,lcns_plt_s,viol_cd,viol_desc,rpt_dstrct,vhcl_make,fine_lvl,tckt_que,year,on_route,datetime,penalty
16-00055456,176 W WASHINGTON ST,176,W,WASHINGTON ST,176 W WASHINGTON ST,1/4/2016 0:00,2/19/2016 0:00,Completed,Honda,2501550,940372,1174909.232,1900809.187,Sedan 2 Door,1/2/2016,1/2/2016,-87.63317812,41.88320932,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-01223620,155 W HUBBARD ST,155,W,HUBBARD ST,155 W HUBBARD ST,2/29/2016 0:00,4/7/2016 0:00,Completed,Bmw,TOLDUTO,942727,1174958.318,1903283.649,Sedan 2 Door,2/27/2016,2/27/2016,-87.63292372,41.88999829,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-01515133,721 S CLARK ST,721,S,CLARK ST,721 S CLARK ST,3/9/2016 0:00,4/7/2016 0:00,Completed,Honda,Z791085,943221,1175631.64,1897141.29,Sedan 4 Door,3/8/2016,3/8/2016,-87.6306357,41.87312819,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-01906375,411 N STATE ST,411,N,STATE ST,411 N STATE ST,3/21/2016 0:00,4/7/2016 0:00,Completed,Toyota,Q115706,943771,1176295.418,1903135.208,Sedan 4 Door,3/18/2016,3/18/2016,-87.62801782,41.88956091,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-01981401,61 E SCHILLER ST,61,E,SCHILLER ST,61 E SCHILLER ST,3/24/2016 0:00,4/7/2016 0:00,Completed,Nissan,S417492,944111,1176575.46,1909795.099,Sedan 4 Door,3/23/2016,3/23/2016,-87.62678798,41.90782964,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-04131782,413 N STATE ST,413,N,STATE ST,413 N STATE ST,6/14/2016 0:00,7/28/2016 0:00,Completed,Acura,A392962,948958,1176295.518,1903155.608,Sedan 4 Door,6/13/2016,6/13/2016,-87.62801684,41.88961688,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-05050348,145 W LAKE ST,145,W,LAKE ST,145 W LAKE ST,7/18/2016 0:00,7/28/2016 0:00,Completed,Chevrolet,Q112249,950875,1175133.442,1901732.442,Sedan 4 Door,7/17/2016,7/17/2016,-87.63232713,41.88573777,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-05050448,633 E SOLIDARITY DR,633,E,SOLIDARITY DR,633 E SOLIDARITY DR,7/18/2016 0:00,7/28/2016 0:00,Completed,Chevrolet,DLD4857,950916,1180646.073,1894709.403,Carryall,7/17/2016,7/17/2016,-87.61230055,41.86634084,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-07932583,17 E GRAND AVE,17,E,GRAND AVE,17 E GRAND AVE,11/21/2016 0:00,12/12/2016 0:00,Completed,Lexus,XPR952,957772,1176448.162,1903908.458,Sedan 4 Door,11/19/2016,11/19/2016,-87.62743353,41.8916793,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00052725,557 W MADISON ST,557,W,MADISON ST,557 W MADISON ST,1/4/2016 0:00,1/7/2016 0:00,Completed,Chevrolet,E580939,2780412,1172615.411,1900296.642,Carryall,1/1/2016,1/1/2016,-87.64161626,41.88185391,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00052726,1924 S ARCHER AVE,1924,S,ARCHER AVE,1924 S ARCHER AVE,1/4/2016 0:00,1/7/2016 0:00,Completed,Toyota,P261378,2780413,1176372.77,1890944.045,Sedan 4 Door,1/1/2016,1/1/2016,-87.6281016,41.85610587,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00052727,1933 S ARCHER AVE,1933,S,ARCHER AVE,1933 S ARCHER AVE,1/4/2016 0:00,1/7/2016 0:00,Completed,Kia Motors Corp,Z331480,2780414,1176278.17,1890882.445,Carryall,1/1/2016,1/1/2016,-87.62845068,41.85593896,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00052729,1952 S ARCHER AVE,1952,S,ARCHER AVE,1952 S ARCHER AVE,1/4/2016 0:00,1/7/2016 0:00,Completed,Honda,4718943,2780416,1176018.73,1890713.022,Sedan 2 Door,1/1/2016,1/1/2016,-87.62940804,41.8554799,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00052730,2007 S ARCHER AVE,2007,S,ARCHER AVE,2007 S ARCHER AVE,1/4/2016 0:00,1/7/2016 0:00,Completed,Nissan,CLB1KA,2780417,1175775.247,1890554.989,Sedan 4 Door,1/1/2016,1/1/2016,-87.63030648,41.85505172,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00052731,627 S STATE ST,627,S,STATE ST,627 S STATE ST,1/4/2016 0:00,1/7/2016 0:00,Completed,Dodge,P944140,2780418,1176455.803,1897507.728,Van,1/1/2016,1/1/2016,-87.62759877,41.87411516,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00052732,853 S STATE ST,853,S,STATE ST,853 S STATE ST,1/4/2016 0:00,1/7/2016 0:00,Completed,Honda,3357224,2780419,1176489.326,1896418.332,Sedan 4 Door,1/1/2016,1/1/2016,-87.62750858,41.87112504,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
